"","klasifikasi","score","text"
"417","Netral",0,"kenaisa didownload tk  diinstal"
"418","Positif",1,"aasi bodong masak saldo   tahan"
"419","Positif",1,"good"
"420","Positif",1,"mantap"
"421","Netral",0," tiambayaran dikenakan biaya kalaugitu    tertentudiamond diistimewakan   iya yg udah diamond disamakan  transaksi  berasa gaada istimewanya "
"422","Netral",0,"manta"
"423","Negatif",-1,"kenaenu investasi  gotidak  dibuka ganti hdahal email  kaya   mohon erahanya k tokoa"
"424","Positif",1,"bagus"
"425","Positif",1,"bagus  kum"
"426","Positif",1,"mantap"
"427","Netral",0," seindah "
"428","Negatif",-1,"aduheror lagieror  nda  verivikasi ayaran  belanja  susahagi  komn tokoa care nya  susah  hubungi aduhkenani tokoa "
"429","Netral",0,"atenan"
"430","Netral",0,"heran ya bintang nya   ulasan  bintang  sy kecewa  tokopedia udah uninstall   download     pembeli yg  rugikan cs nya ga  solusi "
"431","Netral",0," "
"432","Positif",1,"mantaongkir gratis "
"433","Positif",1,"good"
"434","Netral",0,"logo  "
"435","Positif",1,"good job"
"436","Netral",0,"hilangin free ongkir  akun gue buru buru  gojek pas cekout  ganti gratis ongkir  anteraja bangkeeeeeee"
"437","Netral",0,"barang telat"
"438","Netral",0,"pengiriman   ah ah kurirnya  ng     seminggu  mutermuter kurirnya  males  toko"
"439","Positif",1,"keren"
"440","Positif",1,"mantap"
"441","Positif",1,"scam  cashback  masuk   eritahuan an  gak kaya si oren klo gak  cashback   habis dikasih tau "
"442","Positif",1," onya sukses  tokoa"
"443","Netral",0,"  elian  ribu ru taembelian  batalkan  sistem  saldo     ribu"
"444","Positif",1,"bagus"
"445","Netral",0,"bgus"
"446","Netral",0,"thanks toko a"
"447","Negatif",-1,"engga ragu belanda  toped"
"448","Positif",1,"keren"
"449","Positif",2,"  asik fitur aasi nya  biaya aasi  trus klo gagal transaksi biaya aasinya g   onya g bs  o ongkir  cashback semoga  kayak dlu  tok"
"450","Netral",0," mudah  terjangkau"
"451","Negatif",-2,"kecewa   kunggak   karna  h salah   kuongkirdulu    duanyasemoga    sei "
"452","Netral",0,"membantu  utk belanja on line "
"453","Netral",0,"ceyanannya"
"454","Netral",0,"tokoa brengsek   cod jarak    bonafid  toko a  a armada angkutan  sei lazada exs  toko a  a gudang   kota kota  sei lazada exs  harga barang  terkontrol k managemen  kemahalan   "
"455","Negatif",-3,"kenaokoa   cantumkan no rekening sihkan takutnya bocor  dialih fungsikan  orang orang   anggung          dicantumkan no rekeningnya  "
"456","Netral",0,"herwandi ariya ayu powati liya raamal dila pahari diya dabu ujin udjjdudydhdhdbfvfbfhdbdjsiue"
"457","Negatif",-2,"aasi keren sayangnya   lamban semoga kedeya   cedan  terkesan lemot"
"458","Netral",0,"layanannya  "
"459","Netral",0,"mantapx"
"460","Netral",0,"jajal "
"461","Positif",1,"senang belanja  tokoa"
"462","Positif",1,"mantahkasih tos gratis     sellerbiar  laris jualannya"
"463","Netral",0,""
"464","Positif",1,"biaya transaksi nya naek   gak    r eh  naek r"
"465","Positif",1,"mantangguna  daharga rdan gratis ongkir"
"466","Netral",0,"tetaren donk "
"467","Netral",0," semangat ya kakak jualannya   da   ambil   kemajuan bangsa  negara "
"468","Positif",1,"very good"
"469","Netral",0,"ok"
"470","Negatif",-1,"pencairan  ualannya    merugikan seller"
"471","Netral",0,""
"472","Positif",1,"transaksinya aman cedan lancar"
"473","Negatif",-1,"tolong tokoa mengevaluasi exsi yg bekerjasama    yg klo kirim barang  lambat   kenyamanan belanja hilang   gau   exsi aemua  tau exsi ng lambat "
"474","Positif",2,"terima kasih"
"475","Positif",1,"mantap"
"476","Negatif",-1,"kenangkir ikutan toko sebelah  uh nich"
"477","Netral",0,"diberanda arian uk muncul  uk  dicarigiliran diklik uknya   waduhtujuanmu nggak        uk   h gitu   gak  uknya kenauncul diberanda arian"
"478","Positif",1,"semoga maju "
"479","Positif",1,"mantap"
"480","Positif",1,"mantab tokoa"
"481","Negatif",-1,"tolong   sertakan eksi iriman jne  recomended meresahkan"
"482","Netral",0,"kebanyakan biaya beban"
"483","Netral",0,"tolong banyakin lg o nya donk hehehehe"
"484","Netral",0,"oke bngt"
"485","Netral",0,""
"486","Positif",1,"good job and simple"
"487","Negatif",-1,"tolong aya  aiki   daftar susah "
"488","Positif",1,"aasinya  bagus tetaasih  yg     gunaan nya"
"489","Netral",0,"oke"
"490","Negatif",-1,"no ongkir hoax"
"491","Negatif",-3,"  kecewa  tokoa  belih barang ditokoa barang nya rusak   garansi    bilang   ditukar trus auna nya garansi   ubah ulasan gak  tokoa seinya  tukang tioustamer garansi gak berlaku   tokoa garansi  diabaikan   tokoa   ubah ulasanan gak  ya  unistal aja tokoa  anzing banget"
"492","Positif",1,"  dii  bersamaan gratis ongkir  cashbacknya"
"493","Negatif",-1,"susah   regis server noob b auto uninstall"
"494","Netral",0,"jossssgandoossssss"
"495","Positif",3,"   gratis ongkir gak  cashbacknya  gak gratis  ongkirnya     biaya layanan"
"496","Positif",2,"good n bagus "
"497","Positif",2,"terima kasih tokoa"
"498","Netral",0,"uninstal   biaya ongkir nya  gila  bye bye "
"499","Netral",0,"kom  suka  suka"
"500","Positif",1,"bagus"
"501","Positif",1,"maaf aaya hairiman  alamat alamat   dilayani thks"
"502","Netral",0,"memudahkn belanja  ribet cepat"
"503","Negatif",-2,"  kecewa  download  masuk metode ayaran aja  bnget banding  ecommerce sebelah  kalah  si oren aja ga ginigini  loading nya iklan nya sih mantatis ktantuk kualitas aasi minus ongkir hanyar   toko     ya  biaya voucher ga  digabung  toko  wkwk sulit sulit"
"504","Netral",0," membantu "
"505","Positif",1,"mantap"
"506","Netral",0,"free ongkirkutidak   gabung"
"507","Netral",0,"keseringan barang rusak han kurir  lengkaring kali i reguler siceantaraja taarang samya  sei ambil  gratis      cs  membantu  "
"508","Positif",2,"ku kasih bintang  wlw bru nyoba"
"509","Positif",1,"bikin susah transaksi  dana  "
"510","Netral",0," membantu"
"511","Negatif",-1,"aasinya jelek     gak   aasi   tokoa    barang yg  order    toko gak   toko yg kirim barang yg  order nama barang yg  order  meter t carry futura carbu al stelah  order  chat ual   nda ual blang barangnya ready taetika  order gk  kirim   batalkan"
"512","Netral",0,"error   ngga  dibuka belanjaannya"
"513","Positif",4,"kasih bintang  aja cashback tdk  dii bersamaan dgn gratis ongkir "
"514","Netral",0,"trasaksi mudah semudah mudahnya  bonusnya"
"515","Netral",0,"harganya gak ngotak"
"516","Positif",1,"  inta wanita tau  buaya"
"517","Netral",0,"iya"
"518","Negatif",-2,"kecewa     alasan berbelanja   nya hatokoa"
"519","Positif",5," gk enak voucher gratis ongkir  casback     h salh   dlu beda  gratis ongkir  dacasback  gk enak lh   member gold taakin sikit untung nya"
"520","Netral",0," mengisi namaterus ulangi karna kesalahan server  bagus   aja wifi dirumah"
"521","Netral",0,"mantaaaaaa"
"522","Netral",0,"ng ngerti k aasi  belanja cuman  toamannyaman n   sellenya  amanahziihh"
"523","Negatif",-1,"min aya   lem kah pas  daftar  nomer telejuga email i gagal masukin nama keterangannya servernya    tolong elasannya min"
"524","Negatif",-3,"gimana aasi   udah    gk selesaitolong bereskan    segeradan ganti kerugian   aasi membela toko "
"525","Netral",0,"pembeli  menulis lengkaamat antarnya taenalamat ual  ah lengkahkan telnya gak aktif ah  ual fiktif  alamat  nomor telbaik eli  ual   "
"526","Positif",1,"nice good jobs"
"527","Netral",0,"kacau  kurir rekomendasi  kacau tau  dianak tirikan iya sei   i jasa kurir rekomendasi"
"528","Netral",0,"  diskonnya  "
"529","Netral",0,"tarif ongkirnya  mahal dibanding komtor markete  jasa kurir nya "
"530","Netral",0,"aasi "
"531","Negatif",-1,"ga recomend blanja d  bnyak o tbsa d pke"
"532","Negatif",-1,"  kendala transaksi lambat"
"533","Positif",1,"  gratis ongkir nya   komn  cebanget resya"
"534","Positif",2," uang  tdk dikembalikan  kesalahan ual"
"535","Netral",0,"udah mahalnotif ganggu  tiatik"
"536","Netral",0,"kebijakan yg buruk   setiambelian  biaya tambahan diskon dii taak  gratis ongkir  aja bohong  modelan kebijakan marketing   kek gitu"
"537","Netral",0," "
"538","Negatif",-2,"makasih tokoa yanannya  memuaskan  cs nya ramah   yg ragu  segan   tokoa care   tdk salah dlm  akun makasih  ya"
"539","Negatif",-1,"udah ga asik  belanja d tokoa "
"540","Positif",1,"parah banget tokecewa  sy beli barang yg  g sesuai  lma bgt dtengnya  yg bikin kesel ualnya s  menyeting toko  li   mmberi ulasan kecewa skali sy"
"541","Positif",2," thn  i tosekarang dh  beralih vocer gratis ongkir gabisa    vocer laen nya  biaya transaksi dll et kecewaa btw trimakasi udh menemani  "
"542","Netral",0,"semoga  larismaniiiiiisss"
"543","Positif",1,"mantap"
"544","Netral",0," "
"545","Positif",1," nyaman transaksi   droko "
"546","Positif",2,"nyaman banget i tokoa"
"547","Positif",1,"mantap"
"548","Negatif",-1,"diulit   ayaran    o d i nan  otomatis batal trus  aungsi o kalo gk  d i  saldo tokt   alat ayaran  trus aungsi saldo iyu "
"549","Positif",1,"barang gak datangudah komn  hsrus nunggu  minggu udah  minggu uang  kembalikannya cuman  ribu    ribukecewa"
"550","Netral",0," sih bagus takin kesini vocer ongkir   trh  gak   gabung vocer  alhasil hnya  make bebas ongkir doang  vocer ngan terbuang sia     beralih  toko sebelah"
"551","Netral",0," o"
"552","Netral",0,"tokoa  t  males belanja  tokoa"
"553","Netral",0,"  melindungi eli  transaksi  merugikan"
"554","Netral",0,"tetamangat  semoga berkah amin"
"555","Netral",0,"mashokkk"
"556","Negatif",-1,"aasi h   fitur cod  utamakan belanja  nyari yg cod aja susah   ramai cod utamakan bose"
"557","Negatif",-1,"voucher ga    auto uninstall"
"558","Positif",1,"pengguna "
"559","Netral",0,"shooytime and anywhere"
"560","Netral",0,"tokselalu  hati karna aa ringan  ce gak kaya si oren  lemot h tolong ahankan kinerja  sei "
"561","Positif",1,"bagus"
"562","Positif",1,"semoga  jaya  sukses"
"563","Netral",0,"  crash"
"564","Positif",1,"gratis ongkir knrng gabisa dii  dg voucher diskoncashback"
"565","Netral",0,"bangke emang  yg iya bnyak o tmua transaksi yg  o transaksi  batalin aasi"
"566","Positif",1,"ra masuk"
"567","Positif",1,"mudah  cepat"
"568","Netral",0,"ok baget"
"569","Netral",0," mencoba  sanan gofood ditokoa nan   terima  status  selesai kemana i nya nan  woi  sungguh mengecewakan "
"570","Positif",1,"good "
"571","Positif",1,"good"
"572","Positif",1," aman"
"573","Positif",2,"dlu  bilangin sma teman sya kalo  belanja online  tokoa aja gada ningirim barangnya carganya murah gratis ongkir  kebalikanya gratis ongkirnya sdh  sei   yg irimannya sucedulu   sbelum tgl estimasi  samketangan  barangnya   hamsamtgl estimasi tnya  dtg pdhl     kota sya  dianter   alamat sya unlike for tok not recomended"
"574","Netral",0,"aplikasi nipu   tokopedia  cuek   respon  membantu"
"575","Positif",1,"good tokoa"
"576","Netral",0,"jos"
"577","Netral",0,"payah"
"578","Netral",0,"manataaap"
"579","Netral",0,"ok"
"580","Positif",1,"mantap"
"581","Netral",0,"parah bebas ongkir gak  dii barengan  vocher "
"582","Netral",0,"  dftr g  masukan nama gimana  dftr aih"
"583","Netral",0,"nice"
"584","Positif",2,"aasi bagus sayang ayaran cod    aasi "
"585","Netral",0,"beli a  murahsuka dehhh"
"586","Positif",1,"hebat"
"587","Netral",0,"sadis"
"588","Netral",0,"mantalau  tambahkan kredivo nya kak"
"589","Positif",1,"klo gk  balikin si   smakin  ngasih bintang  smakin kecewa  gk  gratis ongkir  ujungnya  ttyar penurunan kualitas"
"590","Positif",1,"   menggabungkan  kucashback  gratis ongkir   cashback ongkir bayar    gratis ongkir  dacashback  beralih  toko sebelah"
"591","Netral",0,"oke siiip"
"592","Positif",1,"gratis ongkir  cashback    gabung   kecewa dnegan ketentuan       eli  milih   cashback  gratis ongkir"
"593","Netral",0,"aasi rusak tarik refund gabisa  transaksi  batalkan sek"
"594","Positif",1,"good service"
"595","Negatif",-1,"gw  ue semoga penilaian   dirating buruk ituh  "
"596","Negatif",-1,"sian yg ngide  iriman kurir rekomendasi sy sumn tnya bau kacau  tokskrg kalo gak dibalikin  kayak  gak dio kayak skrg sy    ah yg belanja"
"597","Positif",1,"bikin akun aja eror    ue  memuaskan makasih ff no hail eror aonslet  rekomendasi    menyesal"
"598","Negatif",-1,"hmmmmau tulis taales gua caja intinya  bug agi ama kali download bugnya gak  download data  mencoba fitur"
"599","Netral",0,"lovvvvvvvvv"
"600","Netral",0,"ue   toko a"
"601","Netral",0,"sangatbmenyenangkan"
"602","Netral",0,"  mantamoga   tembelanja  bersahabat"
"603","Positif",1,"mantap"
"604","Positif",1,"bagus"
"605","Netral",0,"ok"
"606","Negatif",-1,"kalo  bintang nol aja   coba blnja  tok eh udh bayar  batalkan  sampe x emnya dibatalkan pdhl udh  bayar via tf perkara nomor rek yg tf  jd   kecurangan gajelasss tokmau niat jualan gasi kesel ujung emg bnr blanja  toko oren aja ng bagus"
"607","Negatif",-1,"penjualan merosot efek o ongkir  cashback    berbarengan adah  yg ahberalih  toko  ya"
"608","Positif",3,"   h kebijakannya  o bebas ongkir cashback biaya jasa aasi sambiaya asuransi walautidak memilih asuransi"
"609","Positif",1,"ceaman  gratis ongkir nya"
"610","Positif",1,"mudah mudahan amanah"
"611","Netral",0,"ok"
"612","Netral",0," berharaar  sidak  seller   barang yg overmelebihi katas   uol motor  ual buble wra  i tdk disarankan   angkut motor   haraar  controlsidak  saller yg nakal"
"613","Negatif",-1," rubah  kesbek  sei  irian   tau   dangan   tau  jne temsaya lambat n  eaonal  bisanya siceatau jnt barang  d au  tolong aiki  sistemnya"
"614","Positif",1,"bagus"
"615","Netral",0,"semoga o diskon ongkirnya  "
"616","Positif",1,"toko a  bagus  una "
"617","Negatif",-2,"susah cari yg  cod"
"618","Netral",0,"cs  balesnya"
"619","Positif",3,"maaf   kasih  bintang   berulang kali  i diskon tetaalah saldo godikembalikan transaksi ditolak tetaaat diskon   i transaksi  berhasil"
"620","Positif",1,"bagus aasi nya integrasi ayaran dgn gojuga gam"
"621","Positif",3,"udah   tokbaru   keran  uninstall kebijakan atu  o taa gratis ongkir trus  biaya transaksi bikin males aja belanja    desakan  k   bayar k online market   sih  bener gak"
"622","Netral",0,"vaegal taiblokir"
"623","Netral",0,"sippp"
"624","Netral",0,"rating  knya"
"625","Negatif",-2,"aasi sialan rugi doang gw"
"626","Negatif",-2,"tolonglah ya  baatau   terhormat  kalo  setiasuk  verifikasi    sumya   alaman buruk   cari barang secemungkin taergganggu  verifikasi  berulang"
"627","Positif",1,"sungguh syulit"
"628","Positif",1,"bagus"
"629","Netral",0,"paket udh dibayar   dibatalin otomatis"
"630","Negatif",-1,"  kendalanya samavouchergratis ongkir nggk  barengsudah ongkir dinaekkan   voucher nggk  barenggara kebijakan   malas dah belanja  to"
"631","Netral",0,"gk tau  cod"
"632","Positif",1,"mantab"
"633","Positif",1," kebanyakan ue  gak  manfaatnya bikin ilfil aj"
"634","Positif",1,"aaling glk  ah  instal mo daftar aja dri kemarin kesalahan server  udh coba  email nodh  restrat ude hachace tta kek gitu kalo gamau  nga bikin aek gini  gak mutu  sekalii "
"635","Netral",0,"mantanget anjay mabar"
"636","Netral",0,"yw"
"637","Netral",0," aja"
"638","Netral",0,"ok tingkat  "
"639","Netral",0,"ongkir wajar beda   oren"
"640","Negatif",-1,"kenakhirakhir  aasi   lemot"
"641","Netral",0,"simpel"
"642","Netral",0,"aoerorr gak   "
"643","Netral",0,""
"644","Positif",1,"dah  bgt belanja  samadi member platinum taekarang udah  ga enak belanja  gratis ongkirnya u  kebijakannya  aneh mending migrasi  olshoin aja dah  ngaco si ijo nih"
"645","Negatif",-2,"parah sih  laku   tokoa test fisik hp  test r lcd emai volume foto kode layar foto  hp   test jaringan gilan telekarna layar  tamsaat gilan ditolak whay bro"
"646","Positif",1,"good job"
"647","Netral",0,"nice"
"648","Netral",0," membantu  suka tokoa"
"649","Positif",1,"mudah  cepat"
"650","Netral",0,"gg"
"651","Negatif",-2," bayar angsuran keredit  aasi tokoa  tanggal  samtangal   belom kelar jugasaya  lan  tokoa care tauru nunggu nunggu   jatuh temngsuran  tgl   tgl     nunggak   gara gara tokoa angsuran  telat   ga ah telat bayar hati hati kalo  yg  bayar angsuran  tokoa"
"652","Positif",2,"aasinya bagus  memudahkan  belanja"
"653","Positif",1,"keren"
"654","Positif",1,"bagus"
"655","Positif",1," kasih   y  nyoba"
"656","Positif",1,"aasi belanja yg bagus"
"657","Positif",2,"bintang yg berbicara"
"658","Positif",1,"kecewasusahnya ajuan koman  retur barangmasa vasilitas  mendaan nomor resi tdk adatanya amalah solusi  a  suruh  manualdatang  kantor essisedangkan jarak kntr essi  rmhku cukuuhjadi gagal deh  retur barangsia  beli barang tdk   ibeli barang    buanghaduhmending blnja  si oren kalo   koman  mudah fan ce"
"659","Negatif",-1,"aasi bejat   login ue  "
"660","Positif",2,"belanja  tokoa  teraya  mudah  dadiscount yg byk terima kasih tokoa"
"661","Positif",2,"barang teraya embalian dana mudah  cepat"
"662","Netral",0,"mahokkk"
"663","Positif",3,"bintang    jarang belanja      bilang  toko yg tdk jualan  sebulan nga dibiarkan gk   minggu  minimal  ngatan    nya akun toko   ditutuagi toko  seembeli  susah   barang  dikirim  aslienggaknya  gratis ongkos  cod takut banget jdi eli ama  resiko diti dibohongi"
"664","Positif",2,"  eli ritas taeuntungannya  berkurang  bebas ongkir tada tambahan biaya  karna harga ongkir reguler ilo nya  mahal berbeda  yg berbayar voucher    gabung  bebas ongkir ahankanlah nggan karna aingan bisnis market e  ketat siaerani kasih  i menang"
"665","Netral",0,"ghj"
"666","Netral",0,"   membantu syekalee    memuaskan"
"667","Positif",1,"mantap"
"668","Positif",1,"aasi bagus admin tokoa resterhadandala  elian  i aasi  dibandingkan komtor "
"669","Negatif",-1,"pelayanannya buruk"
"670","Netral",0,"ok"
"671","Negatif",-1," h layanan plus kurirnya mengecewakan"
"672","Netral",0,"mantao"
"673","Netral",0," kesini tokmakin   aa sdh diue kirain  gacor jalannya  eh  lemot kayak keong lemot abis kouta  ue aamnyesel banget tau gk  diue kalu bikin ag bnr dunk jgn nyusahin org loadingnya  nunggu   diue lanjay lancar jaya"
"674","Netral",0,"tokmakin t o  dikit cashback sulit"
"675","Positif",1,"aasi bagus tbanyakan lemnya  kurir  yg  next day  custumer h next day  butuh csei  kemarin butuh cakai next day datangnya    butuhnya  next day  beli lg off line krn emang butuh can yg beli  tokoa g dii saran  yg next day ala telat  refaund nya jgn  ongkirnya tharga barang yg  beli  ongkir sayangkan udah beli tlat   beli offline"
"676","Netral",0,"tolong  an elian nominal a  o  "
"677","Netral",0,"ribetttt bgttt  masuk akun sendirii aja susah"
"678","Netral",0,"sy user tokyg sdh cukuma    ama kalinya sy  ulasan u aok jujur aja sy  nyaman d ue yg skrng knn d device sy aokberjalan  berat  berasa bermain game dng syg  mohon d aiki  d device kentang ram  berjalan dng mulus sy mah msh demen uean sblmnya yg msh raman d device sy   keluhan sy makasih"
"679","Netral",0,"semoga   aja"
"680","Netral",0,"ok"
"681","Netral",0,"ok"
"682","Netral",0,"oku ilang asemmm"
"683","Netral",0,"baguss"
"684","Netral",0,""
"685","Negatif",-2," kecewa sm toko a sdh  x beraali cek out barangnya giliran sdh dibyr  latter langsung bilang kosong "
"686","Negatif",-2,"paket  dr tgl  ga nyam dianggelang  kurir nya tna ga  samkrg"
"687","Netral",0,"oke deh"
"688","Positif",1,"mantap"
"689","Negatif",-1,"  gabung sma daian bikin smua tanersetujuan k qt yg  tariki uang titias ribet  ngurusnya  daian l niat   infest   ribetkan kyak gni kcewa bgt sma tkoa   sni  g bermutu emas g seberaau  ambil d ulit bener rugi  rugi materi"
"690","Netral",0,"bener lhodgn ayaran pay letter  membantu usaha  rjaan sy"
"691","Netral",0,"uaaaaasssss"
"692","Netral",0,"tokcara cebelanja hemat"
"693","Netral",0,"ok"
"694","Netral",0," memuaskan"
"695","Netral",0,"ok"
"696","Netral",0,"siip"
"697","Netral",0,"  belanja ditokbravo knya"
"698","Netral",0,"tokoa suka mengubah tamn wishlist    i wishlis   hilang "
"699","Netral",0," "
"700","Positif",1,"tokoa memudahkan nggan nya tonget deh"
"701","Netral",0,"mudah ayar dgn gopay"
"702","Netral",0," belanja disininyaman"
"703","Positif",1,"good"
"704","Positif",2," setiaansaksi kena biaya seribu gratis ongkir  cashback    i bersamaan ca"
"705","Positif",2,"bagus bgt   langsung dahadiah gratis"
"706","Positif",2,"maaf develosaya  comnt  meng ud foto  video  esanan  ulasan     fitur   ing  informasi ajuan comnt  kualitas uk tolong  aiki"
"707","Positif",1,"membeli barang  toko a aman cateraya"
"708","Positif",2,"bagus  nyaman"
"709","Netral",0,""
"710","Positif",2,"hati ama toko a aasi    hataaya a transaksi    bikin  uang  diambil  tabungan   dikembalikan taok gak  mbahan disaldo bank tolong  k tokoa balikin uang  haram lo hukumnya mengambil uang   hakmu  jiwa  jiwa maling "
"711","Negatif",-1,"tokoa  bagus  utk klaim asuransi kerusakan dlm iriman  membantu  diganti full harga barang terimakasih tokoa   eli jgn luntuk menyertakan asuransi kerusakan  lian   barang  samsertakan video unboxing     dgn barang rusak i tokoa membantu taa  es nggak langsungjadi  tetek rugi"
"712","Positif",1,"stlah d ue bkna  bagus  bikin kecewa"
"713","Negatif",-1,"logo nya prioritas  taetanggung    ga   "
"714","Positif",1,"mantab"
"715","Netral",0,"jos"
"716","Positif",1,"bagus"
"717","Netral",0,"aasi ng rekomended kalo  beli online gak kayak si orange  si biru  kebanyakan siklan  tetehal"
"718","Netral",0,"penak"
"719","Netral",0,"   "
"720","Negatif",-3,"udh x belanja uk  tokbeda deskriayah   seleksi tokoseller yg rugi    toksendiri cemen agh rugi rugi belanja  toklagi"
"721","Positif",1," bbm naikgratis ongkir  lamaaku jatimbiasanya  surabaya jam nyamekarang haridari jakarta agi    nyamemarin   nyammana gak  ue  fitur lacaktaalo ongkir bayar  lancar"
"722","Positif",1,"cashback n voucher bebas ongkirx g bsa d gabung   bea trx"
"723","Netral",0," teraya "
"724","Netral",0,"kembalikan toksei  "
"725","Netral",0,"teraya"
"726","Netral",0,"gak  verifikasi "
"727","Netral",0,"promo    uk jg  mahal "
"728","Netral",0,"goooooooddddd"
"729","Positif",1,"bagus"
"730","Positif",1,"semoga bermanfaat  amnah"
"731","Netral",0,"kebijakan   i voucher gratis ongkir  voucher cashback  bersamaan  meresahkan"
"732","Positif",1,"aman"
"733","Negatif",-1,"kecewa"
"734","Positif",1,"skr jarang   gratis ongkirnya lg sulu  jarang  bayar cod  tokoa gak  rugi  untung "
"735","Netral",0,"oke"
"736","Positif",3," bertahun   belanja  aasi   kebijakan   udah gak asik mending ah haluan aja  kebanyakn beriklan drakor  gak    biaya layanan setiaansaksi biaya beli voucer gratis ongkir dll  terimakasih izin meng uninstal  haakunnya"
"737","Netral",0,"tokoa  gak kta dulumalah   mahal sbb kebijakan "
"738","Positif",1,"terbaik"
"739","Negatif",-1," ragu beli elektronik ditokoa barang dijamin"
"740","Netral",0,"oke bgt"
"741","Netral",0,"tokoa  top"
"742","Positif",2,"terima kasih"
"743","Netral",0,"mantaanyak onya"
"744","Netral",0,"semoga tokoa  memuaskan yananya  onsumen"
"745","Netral",0," tahunan  tokoa    biayanya layanan tera uninstall  dech"
"746","Positif",1," kasih bintang terimakasih kredit arsaya  terbantu  aasi     salah    "
"747","Netral",0,"ongkir  mahal"
"748","Netral",0,"tokoa emang yahuyyyy"
"749","Positif",1,"mantap"
"750","Netral",0,"okee"
"751","Netral",0,"masya allah tabarakallahu  mantapks"
"752","Negatif",-1,"seller  kirim barang seller  komn buang aja  tokoa kebijakan tokoa  h ah  aasi sebelah aja"
"753","Positif",2,"aman  bagus"
"754","Netral",0,"makasih toko a"
"755","Netral",0,"dibatalin mulu"
"756","Netral",0,"  golater  belanja  taak  bayar cicilan notifikasi  gak    tomauwa gimana nih"
"757","Netral",0,"  ok"
"758","Positif",6,"kasih bintang   tokberubah  sdh gak  gabungin voucher bebas ongkir  cashbackdiskon  dih salah   hadehhh  ituvoucher bebas ongkir cuman nama doang ng ongkir cuman beberabukan bebas ongkir namanya  tdk terng  kembalikan tokyg  kayaknya  sy tdk  belanja  toklg  haakun aja"
"759","Netral",0,"  o utk todan tokena"
"760","Positif",1,"bagus"
"761","Netral",0,"semoga  berkembang tokoa"
"762","Positif",1,"kemudahan  gunaan"
"763","Netral",0,""
"764","Netral",0,"mantah kum barang nya"
"765","Positif",1,"good"
"766","Netral",0,"mantan membantu "
"767","Netral",0,"wajar  daulasan negatif dr konsumen belanja i kartu erja aja      siman aja    ual  jualan     banding  lazada shopee tiktok  segi kebijakan aagi yanan cs  banget kebanyakan ber teleteleselalu berk  gak ah  menyelesaikan     eli  merem aja lan toko   lan asalan i  sangsi toko    mnysl ntr mnding mlai cabut deh"
"768","Netral",0,"ok"
"769","Negatif",-1,"  tokoa   yg  suka  interfacenya yg mudah    setia sebisa   skrg   menggunakannya   kecewa cashback    ng   terima    memasang kuyg  i  memasang ku   cek  riwayat transaksi   kecewa"
"770","Netral",0,"ruwet aasinya"
"771","Positif",1,"mantab"
"772","Netral",0,"mantan  dablanja rdan vocher ngan belanja"
"773","Negatif",-1,"anjangan  tolak  eli taenggat nya  majuin tokkemarin   ga kayak gini  kali  aja si kayak ga esional banget hahaha"
"774","Positif",1,"mantap"
"775","Negatif",-1,"barang  gagal kirim ayaran gk   bayar  temenan ku  samduit   transfer  lacak si nya   tnyataan gk samsedih kecewa banget barang    samduit  masukbarang   kirim    k yg bertanggung   tokoa  diam  hati hati kawan    gk  res sam   sambarang  gk  res tokoa  ajar ribu     an  gede"
"776","Negatif",-2,"kak mohon solusi nya kak haaya  instal   gak  kaid   email kak no ha udah mati kak sandi gak muncul kak mohon ya kak  bantu gimana  ganti nomor nya kak makasih maaf"
"777","Negatif",-1,"  cod  ya gold member  cek harga  belanjanya disebelah"
"778","Positif",1,"bagus"
"779","Positif",1,"toada ram aman online taihak  nyoba pinjem  jt syaratnya  am  ditlgala  besoknya  disurvey  kerumah  alamaknyak  no recomended pake yg  aja logo   k"
"780","Positif",1,"mantap"
"781","Netral",0," membantu  jual beli online"
"782","Netral",0,"ok"
"783","Positif",1,"asyik"
"784","Netral",0,"ntaps"
"785","Netral",0,"paylatercicilan bunganya gede bgt"
"786","Netral",0," onya  cuy"
"787","Positif",1," gabung gojek tomakin t o  cashback gabisa digabung bebas ongkir klo  bebas ongkir  langganan rb rugi  sy belanja onlen stiari rindu toyg   ner  ovo skrang sy slalu blanja dioren l  sy slalu oped"
"788","Netral",0,"ahh aah kirain  belanja   akun   barang gak  confirm  ual nya aneh banget   nya  ganti  belanja   "
"789","Netral",0," "
"790","Netral",0,"mamtap"
"791","Positif",1," tokoa udah gak  digabung gratis ongkos  kugak asik"
"792","Netral",0,"jos"
"793","Netral",0,"aasi teraya"
"794","Netral",0,"top"
"795","Netral",0,"gg"
"796","Netral",0,"makasih"
"797","Positif",2,"tokoa  h banget casback  gratis ongkirnya  jadikan    ah dacasback  go"
"798","Netral",0," kebanyakan ngeluh  untung  bebas ongkir rb kalo mental mengeluh  ditamkan  deorang  kalo gak suka tinggalin kalo  suka ya stay gitu aja  re"
"799","Positif",1," keren tok"
"800","Negatif",-1,"aasi  komitmen  customer  kendala iriman eh anan nya  gerak ce lambat    bilang no rea kecewa"
"801","Positif",1," bonus nya"
"802","Netral",0," beneran loh"
"803","Positif",1,"mantap"
"804","Positif",1,"suka mantap"
"805","Positif",1," udah nyaman belanja  tokbeli barang han juta  udah  dacashback  takrang o cashback  bebas ongkirnya   gak  nyoba belanja toko sebelah aja dehh"
